pl_rade,st_teff,st_rad,st_met,st_age,is_gas_giant
3.82838127,5649.0,0.9593,-0.018,5.6,0
3.75,5550.0,0.95,-0.1,5.2,0
3.34,5550.0,0.95,-0.1,5.2,0
3.42855926,5649.0,0.9593,-0.018,5.6,0
2.4801338,5216.0,0.8418,0.248,1.2,0
2.74,5198.0,0.836,0.27,3.33,0
2.004,6354.0,1.258,0.025,2.0,0
1.979,6354.0,1.258,0.025,2.0,0
2.001,6354.0,1.258,0.025,2.0,0
3.5,6120.0,1.19,0.14,0.79,0
3.88,5945.0,1.24,0.22,0.75,0
2.0,4819.0,0.73,0.14,0.79,0
1.3,4695.0,0.71,0.14,0.79,0
1.9,3660.0,0.48,0.14,0.79,0
3.59,5434.0,0.95,0.26,0.6,0
16.14096,6030.0,1.78,0.1,4.25,1
5.28,5474.0,1.75,0.33,7.8,0
2.592,5010.0,0.713,-0.34,8.0,0
2.592,5010.0,0.713,-0.34,8.0,0
1.82,5775.0,1.25,-0.46,12.3,0
1.837,5775.0,1.25,-0.46,12.3,0
1.82,5775.0,1.25,-0.46,13.5,0
1.9,5730.0,1.23,-0.53,10.77,0
10.42437,5627.0,1.047,0.18,5.9,1
10.558878,5027.0,0.828,0.41,9.9,1
10.59248676,4899.0,0.832,0.42,7.6,1
10.44677001,4920.0,0.824,0.41,7.2,1
12.498035,5560.0,0.881,-0.22,10.7,1
11.80305668,5870.0,0.855,-0.198,2.2,1
2.44,5672.0,1.117,0.0,8.9,0
1.69,5120.0,0.7595,-0.04,5.3,0
12.206601,4878.0,4.11,-0.11,5.5,1
14.5717,4840.0,3.85,-0.01,8.5,1
1.014,4500.0,0.677,-0.02,0.65,0
3.03,4364.0,0.71,0.15,0.688,0
3.0,4500.0,0.677,-0.02,0.65,0
1.565,4500.0,0.677,-0.02,0.65,0
1.51,5356.3,0.863,0.14,2.8,0
2.299,5356.3,0.863,0.14,2.8,0
2.39,5356.3,0.863,0.14,2.8,0
3.39,5356.3,0.863,0.14,2.8,0
2.904,5356.3,0.863,0.14,2.8,0
3.013,5356.3,0.863,0.14,2.8,0
9.056872,5340.0,0.862,0.22,1.8,1
13.56286665,5585.0,1.06,0.1,9.8,1
12.273855,5654.0,0.987,0.12,4.22,1
1.51,4599.0,0.681,-0.06,6.3,0
1.54,4373.0,0.674,0.03,0.74,0
1.51,4570.0,0.681,0.0,6.3,0
7.0,4599.0,0.681,-0.06,6.3,1
7.0,4570.0,0.681,0.0,6.3,1
0.935,5334.0,0.86,0.02,8.8,0
2.3,6011.0,1.494,-0.4,7.5,0
2.36509493,6310.0,1.499,-0.456,5.3,0
2.2642141,6141.0,1.46,0.425,2.1,0
2.24179614,5110.0,0.69,-0.65,9.5,0
2.46597575,5365.0,0.719,-0.578,7.5,0
2.83587212,5520.0,1.04,0.385,5.9,0
2.69,5170.0,0.793,0.12,2.07,0
2.71257333,5128.0,0.789,0.022,6.2,0
7.34,5345.0,0.914,0.07,8.0,1
