st_teff,st_rad,st_met
5799.0,1.59,-0.03
3791.0,0.574432,-0.02
3485.0,0.4314,0.15
6570.0,2.297,-0.12
5241.3,0.997091,-0.02
5673.0,0.940806,-0.02
3842.0,0.526,-0.1
5735.0,0.852,-0.16
4898.0,2.7,-0.23
5751.0,0.848,-0.28
4902.0,0.831423,-0.02
5596.0,0.8988,-0.02
5311.0,0.948,0.14
5986.0,1.2589,-0.159
4910.0,0.892,0.56
5324.0,0.853,0.21
6310.0,1.095,-0.06
5667.0,1.56,0.33
5316.0,0.804,0.0
4664.0,0.662,-0.12
5594.0,1.053,-0.02
5735.0,1.099,0.02
4909.0,0.724,0.11
5596.0,0.913,-0.02
6004.0,0.977,-0.02
5606.0,1.0284,-0.34
5316.0,0.864673,0.3
4476.0,0.637,-0.2
2850.0,0.1556,-0.028
5925.0,1.233,-0.069
6052.0,1.028,-0.12
6050.0,2.17,0.15
5216.0,0.81,0.03
5596.0,0.919,-0.02
3655.0,0.455,-0.02
5500.0,0.872,-0.064
5224.36,0.961092,-0.02
5917.0,1.269,-0.02
5350.0,0.934,0.139
5390.0,0.77,-0.02
5287.0,0.794,-0.02
5847.0,1.336,-0.13
6297.0,1.031,-0.2
5583.0,1.1146,-0.02
4773.0,0.686,-0.11
5866.0,1.367,0.0
6200.0,1.846,0.14
5266.0,0.788,-0.2
5889.0,0.924,-0.16
5517.0,0.9,0.03
5887.0,1.138,-0.16
5596.0,0.836,-0.02
5897.0,0.891,-0.16
5368.0,0.85,-0.08
6020.0,1.04,0.02
6122.0,1.17,-0.02
3871.0,0.49,-0.31
5500.0,0.9,0.05
4115.0,0.532,-0.02
6393.0,1.43,-0.02
4540.37,0.729825,-0.02
5561.0,1.19,0.16
5229.0,1.005,0.32
5596.0,0.669,-0.02
5596.0,0.71,-0.02
4343.0,0.732,-0.102
5862.0,1.586,0.27
5106.0,0.803,-0.08
5936.0,0.965,0.07
2960.0,0.182,-0.09
5440.0,0.876,0.38
3560.0,0.568,-0.02
6117.0,1.244,0.14
5897.0,1.289,-0.02
5786.0,1.491,-0.02
5737.0,1.179,-0.39
6640.0,2.62,0.14
6346.0,1.459,-0.02
4931.0,0.71,-0.02
5896.0,0.914,-0.1
5681.0,0.9,-0.02
4499.3,0.664,-0.02
5256.0,0.82,-0.02
5046.0,0.752,-0.55
5777.0,1.09,-0.02
5142.0,0.745,-0.12
5986.0,1.404,-0.02
5596.0,0.792,-0.02
5203.0,0.865,0.22
5633.4,1.22,-0.02
5596.0,0.215,-0.02
4819.0,0.769,0.095
10500.0,0.92,-0.02
3089.0,0.158,0.0
5831.0,1.0,-0.04
4350.0,0.625,-0.26
5438.0,0.83,0.0
8840.0,1.77,-0.02
5822.0,0.92,-0.02
6475.0,1.318,-0.02
5594.0,0.934,0.16
6550.0,2.058,-0.28
6087.0,1.66,0.15
4791.0,0.742,0.07
5812.0,0.838,-0.28
4905.0,0.682,-0.4
5187.9,0.826,-0.02
6038.0,1.088,-0.24
4850.0,0.731,0.2
5289.0,0.738,-0.02
5596.0,0.92,-0.02
5883.0,1.529,0.2
3384.0,0.34388,-0.02
6230.0,1.508,-0.02
4401.0,0.581,-0.02
3223.0,0.32,-0.02
6995.5,2.22759,-0.02
3702.0,0.485948,-0.02
3219.0,0.347,0.27
5956.0,1.209,0.0
3640.0,0.59,-0.02
4922.0,0.823,0.2
5780.0,1.0,-0.02
6138.0,1.486,0.049
5596.0,0.92,-0.02
4941.0,4.885,0.4
3275.0,0.23,-0.02
5911.0,0.887,-0.2
5871.0,0.94,-0.17
6038.0,1.27527,-0.02
5509.0,0.916,-0.02
5591.0,0.86,0.07
3985.0,0.55,-0.26
5818.0,1.384,0.23
5151.0,0.785,-0.16
5080.0,0.628,-0.86
4751.0,0.71,-0.07
6057.0,0.96,-0.02
5685.0,0.96,0.02
6295.0,1.28,0.0
5601.0,0.83,-0.12
6272.0,2.05979,-0.02
5245.0,0.79,-0.02
4237.0,0.551,-0.02
6035.0,1.135,-0.14
3437.0,0.483,-0.12
5079.0,0.827,0.12
4821.0,0.788,0.16
5840.0,0.97,-0.02
5570.0,0.899,-0.18
5848.0,1.077,0.15
6070.0,0.812,-0.76
6144.0,1.106,-0.06
5527.0,0.88,-0.08
5052.0,0.48,-0.5
4912.0,4.142,-0.02
5314.0,0.76,-0.19
6027.0,1.1,0.0
6160.0,2.333,0.065
4595.0,0.6796,0.22
6102.0,1.026,0.0
6536.0,2.201,0.19
6328.9,1.55,-0.02
5745.0,3.955,0.4
5537.0,0.88,0.21
6000.0,1.519,-0.12
5706.0,2.35,-0.02
4612.0,0.65,-0.21
5743.0,1.53,0.27
4664.0,0.76,-0.02
3807.0,0.47,-0.02
6201.0,0.989,-0.2
5678.0,0.97,0.26
4749.0,0.72,0.05
4470.0,0.579,-0.02
5614.0,0.827,-0.14
5800.0,1.01,-0.02
5962.7,1.15,-0.02
6143.0,1.763,0.12
3950.0,0.592,-0.02
5711.17,0.990833,0.018
6432.0,1.3,-0.14
5951.0,1.06,0.2
6534.0,1.23,-0.02
5532.0,0.947,0.218
5920.2,1.43,-0.02
6244.0,1.009,-0.2
5750.0,1.0,0.0
5782.0,0.92,-0.02
3861.0,0.5776,-0.02
3385.0,0.33,-0.02
6126.0,1.021,-0.04
5848.8,1.79,-0.02
5839.0,0.998,-0.11
6165.0,1.383,-0.02
5260.0,0.755,-0.02
5626.0,1.389,0.14
5272.71,0.88,-0.02
4382.0,0.600869,-0.35
5128.0,0.821,-0.02
5413.0,0.757,-0.02
5596.0,0.92,-0.02
5948.0,1.025,-0.26
5037.0,0.789,-0.01
5993.0,1.14,0.09
5947.0,1.609,0.14
5658.0,1.09,0.15
6154.0,1.161,0.1
5963.52,1.20944,-0.441
5638.0,0.928,-0.42
6122.0,0.964,-0.18
6010.0,1.15,0.05
5561.0,0.873,-0.18
6214.0,1.297,-0.16
4263.0,0.6847,0.17
5568.0,1.034,0.06
3558.0,0.374,-0.09
6038.0,0.898,-0.28
4761.0,0.64,-0.4
5757.0,1.15,0.14
6362.0,1.46,-0.02
5529.0,0.832,-0.2
6020.0,1.093,-0.14
3717.0,0.49,-0.04
5149.0,0.803,-0.14
5636.0,1.354,0.42
4828.0,0.73,0.01
6108.0,1.011,-0.08
5792.0,1.02,0.05
6401.0,1.15,-0.04
5773.0,0.98,-0.15
4336.0,0.668693,-0.02
5295.0,0.949,0.33
5262.0,0.885,-0.02
6128.0,1.51,-0.02
5430.0,0.89,-0.02
4249.1,0.82,-0.02
5106.0,0.78,0.03
5162.0,0.797,0.17
6331.0,1.38,-0.02
5502.0,0.68,-0.02
4771.0,0.696,-0.22
6740.0,1.56,-0.02
5516.0,0.895,-0.2
5377.0,0.841458,0.07
5330.0,0.932,0.0
6309.0,1.27132,-0.02
6400.0,1.466,0.0
6274.0,1.47,0.03
5588.0,0.881,-0.02
5464.2,1.02592,-0.02
4784.0,3.22859,-0.02
4970.0,1.32,-0.02
5192.0,0.802,0.16
5596.0,0.801,-0.02
5596.0,0.634,-0.02
6453.0,1.28,-0.18
5600.0,1.02,-0.02
3977.0,0.609,0.44
6218.0,1.168,-0.36
4680.0,0.72,0.04
5106.0,0.796,-0.02
5718.0,0.860124,-0.02
5234.0,0.854,0.3
5596.0,0.92,-0.02
5573.0,0.827,-0.12
5768.0,1.067,-0.04
6014.0,1.1,0.02
5807.0,1.06,0.02
3992.0,0.532439,-0.02
4572.94,0.68988,-0.02
3762.0,0.53,-0.11
3807.0,0.56,-0.02
5922.0,0.961,-0.08
5497.0,0.809,-0.1
6290.0,1.09,-0.02
5036.0,0.74,-0.02
5623.0,1.04,-0.02
4079.0,0.632,-0.11
5239.0,0.826,0.0
4864.0,0.785799,-0.02
5596.0,1.0574,-0.02
5729.0,0.98,-0.02
5754.0,1.46,0.27
4750.0,0.729,0.12
5736.0,0.85,-0.02
5570.0,0.92,-0.01
5943.0,1.66,-0.02
4360.0,1.94153,-0.02
5059.0,0.733,-0.114
5100.0,0.748,-0.02
3326.0,0.404,-0.02
4591.0,0.665648,-0.18
5888.0,1.961,0.21
5808.0,1.20191,-0.02
5494.0,0.835682,-0.02
5523.0,0.88,0.0
6031.0,1.608,-0.02
5753.0,0.96,-0.03
4201.0,0.591,-0.2
6351.0,1.0,-0.16
3489.0,0.490729,-0.02
5017.0,0.885,0.25
3553.0,0.476,0.041
5750.0,0.942,0.02
5781.0,0.86,-0.02
4397.0,0.577,-0.58
4677.0,0.71,0.04
5596.0,0.785,-0.02
5564.0,0.99,0.06
6504.0,1.57,0.04
5418.0,0.93,0.09
5991.0,1.092,-0.02
5653.0,0.949,0.1
5854.0,1.01613,-0.02
5080.0,0.785,-0.02
5130.0,0.756,-0.12
5213.0,0.8649,0.168
5571.0,0.91,0.02
5688.0,0.99,-0.02
5900.0,1.167,0.0
6303.0,1.06,-0.24
4255.0,0.58,-0.32
5000.0,0.82,-0.02
5151.0,0.86,0.17
4262.1,0.685548,-0.02
5614.0,0.839998,-0.22
5596.0,0.73,-0.02
5710.0,0.934,0.05
4790.0,0.729,0.08
6038.0,1.2,0.14
5632.0,0.83,-0.02
4950.0,0.745,0.07
5725.0,1.392,0.187
3719.0,0.512361,-0.02
6220.0,1.328,0.02
5094.0,0.87,0.16
6238.0,1.054,-0.4
4402.0,0.637,-0.02
5800.0,1.06,-0.46
5841.0,0.931,0.07
5151.4,0.86,-0.02
5986.0,1.03963,-0.02
5174.0,0.78,-0.02
6090.0,1.025,-0.2
5845.0,0.874,-0.16
5973.0,1.61,-0.02
4534.0,0.69,-0.02
5083.0,0.844,0.22
5684.0,1.012,-0.02
5902.0,0.989,-0.1
6117.0,1.53,0.25
5245.0,0.903,-0.02
4802.0,0.69,0.15
3851.0,0.552,-0.02
5250.0,0.963515,0.35
5968.0,0.881,-0.26
5681.0,0.923,0.21
5930.0,0.923,-0.02
5838.0,0.897,-0.08
5125.0,0.856,0.15
5675.0,1.38,-0.02
6217.0,0.989,-0.22
5033.0,0.821,0.06
5430.0,1.71,0.2
5400.0,1.18,-0.02
5975.0,0.9,-0.44
5914.0,0.955,-0.06
6528.0,1.155,-0.16
3485.0,0.461,0.3
5880.0,1.288,0.24
6179.0,1.14,-0.02
6210.0,1.054,-0.18
5409.0,0.746,-0.3
5653.0,0.94,0.02
5065.0,0.728,-0.14
3827.0,0.53,-0.06
4374.0,0.614,-0.34
5054.0,0.76,-0.02
3972.0,0.92,-0.02
4545.43,0.713599,-0.02
6320.0,1.273,-0.1
5772.0,0.96,-0.07
5660.0,1.021,-0.02
5050.0,0.714,0.08
5554.0,1.01,-0.02
5684.0,1.415,0.02
4500.0,0.677,-0.02
5890.0,1.385,-0.008
5513.0,0.818,-0.16
5528.0,0.905339,-0.02
5272.0,0.851,-0.02
6426.0,1.154,-0.12
6484.0,1.173,-0.08
5456.75,1.022,-0.02
5520.79,0.874291,-0.02
5981.0,1.13,0.06
5596.0,0.92,-0.02
3896.0,0.54,-0.27
6032.0,1.001,-0.02
5058.0,1.86,-0.02
5685.0,1.35,0.24
4137.0,0.612,0.0
5563.0,0.927,0.014
5784.0,0.96,-0.038
6183.0,1.81,-0.02
3272.0,0.401575,-0.02
3262.0,0.4,-0.02
5185.0,0.803827,-0.05
4884.0,0.74413,-0.02
4669.0,0.69,-0.02
3926.0,0.62,0.0
5258.0,0.793,0.04
5190.0,0.874,-0.02
5703.0,0.92,-0.02
3609.0,0.502498,-0.02
5497.0,0.874,-0.02
4738.0,0.7,0.08
5596.0,0.491,-0.02
3691.0,0.318,-0.02
5600.0,1.0,0.31
5477.0,0.894913,0.26
5551.0,1.301,-0.02
4590.0,0.757521,-0.02
5637.0,0.943,-0.3
5025.77,0.801736,-0.02
4850.0,0.81,0.2
4142.0,0.536,-0.02
5619.0,1.199,0.14
5671.0,1.084,0.16
5762.0,1.69,0.27
4927.0,0.765,0.132
5565.0,1.03,0.0
4665.0,0.681,-0.02
7437.0,1.7,-0.02
3436.0,0.379,-0.02
5281.0,0.859,0.168
5456.0,0.908,0.11
5796.0,0.87,-0.02
4972.0,2.568173,-0.03
5578.0,0.9,-0.03
6516.0,1.471,0.052
5617.0,1.032,-0.02
3960.0,0.63,-0.02
5822.0,0.898,-0.06
5717.0,0.884,0.0
5497.0,1.052,0.36
5374.0,0.721,-0.68
5516.0,0.818,-0.14
5657.0,1.046,0.0
4892.0,0.742779,-0.02
5803.0,1.073,-0.08
5527.0,0.833,0.09
5887.0,1.029,0.08
5660.0,0.877,-0.28
5451.0,0.85,-0.02
4402.0,0.7,-0.02
3496.0,0.344,-0.04
5570.0,0.885,-0.02
6157.0,1.117,0.0
4079.0,0.68,-0.02
5620.0,0.884,0.06
5287.7,1.73,-0.02
4508.0,0.68,-0.01
5438.0,0.82,0.02
5195.0,0.69,-0.56
6933.0,1.53,-0.05
6570.0,1.39,-0.03
6486.0,1.485,-0.34
6300.0,1.474,0.28
4843.0,0.658,-0.02
5802.0,1.314,-0.01
5263.0,0.718,-0.02
5122.0,1.61423,-0.02
5043.0,0.758046,-0.14
27730.0,0.203,-0.02
5141.67,0.837606,-0.02
6347.0,1.87,-0.02
3537.0,0.256,-0.02
5808.0,1.0,0.02
4159.0,0.583,-0.24
3563.0,0.4232,-0.109
5580.0,0.843154,-0.25
5790.7,1.20174,-0.02
5554.02,0.848906,-0.02
5966.0,2.9,0.14
6351.0,1.61988,-0.02
3743.0,0.49,0.06
6299.0,0.983,-0.32
5789.0,0.907,-0.292
3655.0,0.455,-0.02
5541.0,0.931,-0.02
5477.0,0.867368,-0.02
